api,dtype,M,N,K,ms,TFLOPS,GBps
sgemm,fp32,128,128,128,0.0063,0.670,31.385
sgemm,fp32,256,256,256,0.0096,3.511,82.293
sgemm,fp32,512,512,512,0.0316,8.508,99.700
sgemm,fp32,1024,1024,1024,0.1797,11.948,70.008
sgemm,fp32,1536,1536,1536,0.5050,14.353,56.065
sgemm,fp32,2048,2048,2048,1.7270,9.948,29.144
sgemm,fp32,4096,4096,4096,10.9889,12.507,18.321
sgemm,fp32,8192,8192,8192,86.2463,12.749,9.337
sgemm,fp32,4096,256,1024,0.1864,11.521,118.133
sgemm,fp32,1024,8192,512,0.6445,13.327,81.342
sgemm,fp32,3000,3000,3000,4.3071,12.537,25.075
