api,dtype,M,N,K,ms,TFLOPS,GBps
gemmex,f16f32,128,128,128,0.0076,0.553,17.270
gemmex,f16f32,256,256,256,0.0083,4.029,62.952
gemmex,f16f32,512,512,512,0.0118,22.677,177.163
gemmex,f16f32,1024,1024,1024,0.0339,63.394,247.633
gemmex,f16f32,1536,1536,1536,0.0903,80.241,208.962
gemmex,f16f32,2048,2048,2048,0.2142,80.220,156.680
gemmex,f16f32,4096,4096,4096,1.9307,71.185,69.517
gemmex,f16f32,8192,8192,8192,13.3870,82.133,40.104
gemmex,f16f32,4096,256,1024,0.0385,55.840,340.822
gemmex,f16f32,1024,8192,512,0.1774,48.430,242.388
gemmex,f16f32,3000,3000,3000,0.6625,81.506,108.674
