api,dtype,M,N,K,ms,TFLOPS,GBps
sgemm,fp32,128,128,128,0.0079,0.534,25.024
gemmex,f16f32,128,128,128,0.0076,0.549,17.158
sgemm,fp32,256,256,256,0.0123,2.729,63.957
gemmex,f16f32,256,256,256,0.0083,4.059,63.415
sgemm,fp32,512,512,512,0.0413,6.501,76.186
gemmex,f16f32,512,512,512,0.0156,17.249,134.759
sgemm,fp32,1024,1024,1024,0.2368,9.069,53.138
gemmex,f16f32,1024,1024,1024,0.0437,49.122,191.884
sgemm,fp32,1536,1536,1536,0.6707,10.806,42.212
gemmex,f16f32,1536,1536,1536,0.1109,65.353,170.191
sgemm,fp32,2048,2048,2048,1.7272,9.947,29.140
gemmex,f16f32,2048,2048,2048,0.2651,64.807,126.575
sgemm,fp32,4096,4096,4096,11.0876,12.396,18.158
gemmex,f16f32,4096,4096,4096,1.6976,80.962,79.065
sgemm,fp32,8192,8192,8192,85.7272,12.826,9.394
gemmex,f16f32,8192,8192,8192,13.6246,80.700,39.404
sgemm,fp32,4096,256,1024,0.1861,11.540,118.331
gemmex,f16f32,4096,256,1024,0.0382,56.246,343.296
sgemm,fp32,1024,8192,512,0.6394,13.434,81.993
gemmex,f16f32,1024,8192,512,0.1776,48.371,242.093
sgemm,fp32,3000,3000,3000,4.2982,12.563,25.127
gemmex,f16f32,3000,3000,3000,0.6678,80.857,107.809
